Date,Units,Assets
2024-03-21,135391188,4607362.00
2024-03-25,135436072,4617016.00
2024-03-26,88684412,3080896.00
2024-03-27,88490708,3046735.00
2024-03-28,88433429,3086327.00
2024-03-31,88438255,3129830.00
2024-04-01,88400329,3096664.00
2024-04-02,88384558,3017449.00
2024-04-03,88197920,2995201.00
2024-04-04,87953515,2913020.00
2024-04-07,87371562,2961896.00
2024-04-08,86999933,3041518.00
2024-04-09,86583951,2978488.00
2024-04-10,86331763,2930100.00
2024-04-11,86310982,2875882.00
2024-04-14,86394709,2895087.00
2024-04-15,86356457,2869625.00
2024-04-16,86318431,2845919.00
2024-04-17,82153210,2661764.00
2024-04-18,82178913,2706973.00
2024-04-21,82272802,2784112.00
2024-04-24,82300232,2779279.00
2024-04-25,82189265,2755806.00
2024-04-30,82182947,2809835.00
2024-05-01,82126820,2775065.00
2024-05-02,82156680,2781004.00
2024-05-05,81740120,2775894.00
2024-05-06,81449691,2713089.00
2024-05-07,81479355,2778446.00
2024-05-08,81153139,2738107.00
2024-05-09,81033849,2740565.00
2024-05-12,81031599,2765608.00
2024-05-15,80691218,2736239.00
2024-05-16,80682045,2699621.00
2024-05-19,80365366,2664112.00
2024-05-20,80341221,2705892.00
2024-05-21,80240071,2693659.00
2024-05-22,79745561,2647553.00
2024-05-23,79539488,2642302.00
2024-05-26,79399827,2676568.00
2024-05-27,79394498,2666861.00
2024-05-28,79288943,2711682.00
2024-05-29,78514517,2739371.00
2024-05-30,78216676,2717247.00
2024-06-02,78254405,2716210.00
2024-06-03,78265412,2798771.00
2024-06-04,78057823,2765589.00
2024-06-05,78028470,2719292.00
2024-06-06,77982914,2643621.00
2024-06-09,77436851,2635176.00
2024-06-10,77366190,2625035.00
2024-06-13,77318903,2668275.00
2024-06-16,77197814,2638621.00
2024-06-17,77173840,2674845.00
2024-06-18,76639430,2647126.00
2024-06-19,76610187,2695912.00
2024-06-20,76619517,2606596.00
2024-06-23,76360758,2610011.00
2024-06-24,76360732,2603901.00
2024-06-25,76360732,2612301.00
2024-06-26,76321661,2627755.00
2024-06-27,75987299,2578249.00
2024-06-30,75470791,2593931.00
2024-07-01,75432752,2589606.00
2024-07-02,75418825,2599687.00
2024-07-03,75405798,2592451.00
2024-07-04,75398454,2638946.00
2024-07-07,75226957,2707418.00
2024-07-08,74813945,2692554.00
2024-07-09,74592304,2700987.00
2024-07-10,73538150,2641490.00
2024-07-11,72707008,2668347.00
2024-07-14,71297245,2602349.00
2024-07-15,71276431,2607292.00
2024-07-16,70294950,2585448.00
2024-07-17,69376203,2555819.00
2024-07-18,68667792,2509808.00
2024-07-21,67827151,2452630.00
2024-07-22,67555661,2469835.00
2024-07-23,66775903,2484731.00
2024-07-24,65949850,2458610.00
2024-07-25,66664878,2457267.00
2024-07-28,66207547,2361623.00
2024-07-29,65238327,2332923.00
2024-07-30,65156320,2329990.00
2024-07-31,65129224,2331626.00
2024-08-01,65142717,2276738.00
2024-08-04,65204110,2243021.00
2024-08-05,65150739,2238579.00
2024-08-06,64511467,2219194.00
2024-08-07,64581804,2270696.00
2024-08-08,64538624,2326617.00
2024-08-11,64150090,2333139.00
