Date,Units,Assets
2023-11-14,3550797,260202.00
2023-11-15,3553495,262248.00
2023-11-16,3568031,270885.00
2023-11-19,3569577,269789.00
2023-11-20,3557984,270656.00
2023-11-21,3554628,273458.00
2023-11-22,3552770,277294.00
2023-11-23,3512026,276396.00
2023-11-26,3401211,268696.00
2023-11-27,3396542,266153.00
2023-11-28,3320592,264817.00
2023-11-29,3170808,257818.00
2023-11-30,3170801,251191.00
2023-12-03,3164804,254577.00
2023-12-04,3166988,254404.00
2023-12-05,3171297,262361.00
2023-12-06,3175045,265815.00
2023-12-07,3176867,264601.00
2023-12-10,3194287,263784.00
2023-12-11,3194088,257923.00
2023-12-12,3188604,255694.00
2023-12-13,3185075,256271.00
2023-12-14,3175224,269672.00
2023-12-17,3178348,272289.00
2023-12-18,3177349,272235.00
2023-12-19,3182773,275374.00
2023-12-20,3262170,287887.00
2023-12-21,3474320,304211.00
2023-12-24,3474714,300285.00
2023-12-25,3474586,301559.00
2023-12-26,3468545,294410.00
2023-12-27,3491439,301905.00
2023-12-28,3489827,299392.00
2023-12-31,3491336,302699.00
2024-01-01,3484648,315221.00
2024-01-02,3494779,318025.00
2024-01-03,3501955,316962.00
2024-01-04,3503156,315915.00
2024-01-07,3490076,310931.00
2024-01-08,3486804,304014.00
2024-01-09,3486394,303281.00
2024-01-10,3486198,301626.00
2024-01-11,3482855,300570.00
2024-01-14,3474299,299519.00
2024-01-15,3474373,295252.00
2024-01-16,3469355,286638.00
2024-01-17,3455523,283629.00
2024-01-18,3455523,292199.00
2024-01-21,3457958,292197.00
2024-01-22,3459079,290009.00
2024-01-23,3457529,286560.00
2024-01-24,3452446,289488.00
2024-01-25,3463581,290664.00
2024-01-28,3478397,293890.00
2024-01-29,3482254,299404.00
2024-01-30,3472228,296598.00
2024-01-31,3465736,295835.00
2024-02-01,3452251,290265.00
2024-02-04,3452425,287794.00
2024-02-05,3453223,287308.00
2024-02-06,3466382,290552.00
2024-02-07,3461328,292378.00
2024-02-08,3460625,286540.00
2024-02-11,3449622,280868.00
2024-02-12,3450296,286202.00
2024-02-13,3450456,286388.00
2024-02-14,3449793,285850.00
2024-02-15,3448014,288599.00
2024-02-18,3450398,290316.00
2024-02-19,3472445,298561.00
2024-02-20,3480180,299052.00
2024-02-21,3481833,296478.00
2024-02-22,3482435,296878.00
2024-02-25,3475413,301318.00
2024-02-26,3475118,305185.00
2024-02-28,3469871,301566.00
2024-02-29,3455556,305471.00
2024-03-03,3449556,306321.00
2024-03-04,3452943,304273.00
2024-03-05,3451635,303019.00
2024-03-06,3451850,304350.00
2024-03-07,3452127,299403.00
2024-03-10,3449264,296085.00
2024-03-11,3443560,293357.00
2024-03-12,3439998,289097.00
2024-03-13,3416038,287767.00
2024-03-14,3409824,288880.00
2024-03-17,3407731,292247.00
2024-03-18,3408277,298735.00
2024-03-19,3409292,301347.00
2024-03-20,3410756,307104.00
2024-03-21,3444062,313547.00
2024-03-25,3414544,309767.00
2024-03-26,3417000,308487.00
2024-03-27,3413672,306787.00
2024-03-28,3414582,303078.00
2024-03-31,3412695,305334.00
2024-04-01,3413192,303433.00
2024-04-02,3413620,297531.00
2024-04-03,3413824,295023.00
2024-04-04,3415883,289564.00
2024-04-07,3413822,291540.00
2024-04-08,3412804,300839.00
2024-04-09,3412686,296767.00
2024-04-10,3412686,290249.00
2024-04-11,3409145,285277.00
2024-04-14,3395134,283731.00
2024-04-15,3384817,282260.00
2024-04-16,3384003,281312.00
2024-04-17,3385589,281376.00
2024-04-18,3386488,282772.00
2024-04-21,3387650,285613.00
2024-04-24,3384867,290049.00
2024-04-25,3387511,285228.00
2024-04-30,3387511,287058.00
2024-05-01,3392709,288278.00
2024-05-02,3393125,290452.00
2024-05-05,3391346,293589.00
2024-05-06,3391346,288604.00
2024-05-07,3396622,295608.00
2024-05-08,3395370,294243.00
2024-05-09,3394662,295607.00
2024-05-12,3393069,293365.00
2024-05-15,3390955,292233.00
2024-05-16,3386102,285448.00
2024-05-19,3383932,279987.00
2024-05-20,3396743,278669.00
2024-05-21,3393770,275812.00
2024-05-22,3362542,270819.00
2024-05-23,3361898,267439.00
2024-05-26,3362322,268313.00
2024-05-27,3359876,266606.00
2024-05-28,3359794,268918.00
2024-05-29,3359776,267909.00
2024-05-30,3356927,264224.00
2024-06-02,3339586,266399.00
2024-06-03,3339139,269268.00
2024-06-04,3327804,268021.00
2024-06-05,3319346,261133.00
2024-06-06,3318726,255210.00
2024-06-09,3311019,252796.00
2024-06-10,3288552,256277.00
2024-06-13,3270997,254974.00
2024-06-16,3268358,252840.00
2024-06-17,3265483,258528.00
2024-06-18,3265948,256181.00
2024-06-19,3243285,254176.00
